input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-08-10 09:00:00+00:00,236.0,14.7,16.05,67.18,1
2021-08-11 09:00:00+00:00,154.0,10.4,14.81,31.03,1
2021-08-12 10:00:00+00:00,226.0,17.7,12.77,32.59,1
2021-08-13 10:00:00+00:00,240.0,19.2,12.5,33.61,1
2021-08-14 10:00:00+00:00,6.0,0.8,7.5,10.48,1
2021-08-15 10:00:00+00:00,0.0,0.0,,9.11,1
2021-08-16 10:00:00+00:00,0.0,0.0,,8.24,1
2021-08-17 10:00:00+00:00,242.0,13.9,17.41,43.05,1
2021-08-18 09:00:00+00:00,398.0,23.0,17.3,63.88,1
2021-08-19 08:00:00+00:00,406.0,23.0,17.65,62.65,1
2021-08-20 08:00:00+00:00,418.0,24.0,17.42,69.53,1
2021-08-21 08:00:00+00:00,427.0,24.0,17.79,61.7,1
2021-08-22 08:00:00+00:00,411.0,24.0,17.13,65.58,1
2021-08-23 08:00:00+00:00,401.0,24.0,16.71,59.45,1
2021-08-24 08:00:00+00:00,426.0,24.0,17.75,66.29,1
2021-08-25 07:00:00+00:00,393.0,23.0,17.09,59.33,1
2021-08-26 07:00:00+00:00,399.0,24.0,16.63,59.74,1
2021-08-27 07:00:00+00:00,371.0,23.0,16.13,58.11,1
2021-08-28 06:00:00+00:00,390.0,24.0,16.25,64.46,1
2021-08-29 05:00:00+00:00,401.0,23.0,17.43,65.86,1
2021-08-30 05:00:00+00:00,410.0,24.0,17.08,63.21,1
2021-08-31 05:00:00+00:00,423.0,24.0,17.63,66.42,1
2021-09-01 04:00:00+00:00,375.0,23.0,16.3,55.63,1
2021-09-02 04:00:00+00:00,431.0,24.0,17.96,70.38,1
2021-09-03 04:00:00+00:00,324.0,22.3,14.53,41.75,1
2021-09-04 04:00:00+00:00,15.0,1.2,12.5,8.24,1
2021-09-05 04:00:00+00:00,38.0,3.3,11.52,13.65,1
2021-09-06 04:00:00+00:00,32.0,3.1,10.32,12.97,1
2021-09-07 04:00:00+00:00,79.0,6.0,13.17,19.7,1
2021-09-08 04:00:00+00:00,0.0,0.0,,7.89,1
2021-09-09 04:00:00+00:00,0.0,0.0,,8.2,1
2021-09-10 04:00:00+00:00,0.0,0.0,,6.64,1
2021-09-11 04:00:00+00:00,62.0,3.8,16.32,15.39,1
2021-09-12 04:00:00+00:00,439.0,23.5,18.68,134.13,1
2021-09-13 04:00:00+00:00,293.0,24.0,12.21,42.6,1
2021-09-14 04:00:00+00:00,74.0,6.0,12.33,20.22,1
2021-09-15 04:00:00+00:00,290.0,22.7,12.78,37.61,1
2021-09-16 04:00:00+00:00,41.0,3.7,11.08,13.53,1
2021-09-17 04:00:00+00:00,191.0,12.8,14.92,35.68,1
2021-09-18 04:00:00+00:00,362.0,24.0,15.08,57.57,1
2021-09-19 04:00:00+00:00,390.0,24.0,16.25,68.48,1
2021-09-20 03:00:00+00:00,374.0,23.0,16.26,78.68,1
2021-09-21 03:00:00+00:00,375.0,24.0,15.63,76.29,1
2021-09-22 02:00:00+00:00,368.0,23.0,16.0,69.54,1
2021-09-23 02:00:00+00:00,392.0,24.0,16.33,71.43,1
2021-09-24 01:00:00+00:00,354.0,23.0,15.39,61.4,1
2021-09-25 01:00:00+00:00,369.0,24.0,15.38,68.74,1
